County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Bath,va,29700,25326,32222,29141,30524,29542,34182,26121,33818,45625,18382,65104,26167,2499,26544,26214,31411,16176
Bedford,va,35074,25186,28802,34010,47457,63397,42603,27700,33708,46870,68306,87099,28278,17246,22466,24902,37984,50719
Bland,va,25286,18750,22813,23041,36875,45547,31860,18750,28226,37300,41058,46602,21153,NA,18906,20696,35508,41336
Botetourt,va,40263,24727,32047,40326,51544,61875,47198,27880,39125,49043,68393,76799,34075,18722,27698,35430,40168,51594
Brunswick,va,26463,17600,23567,29851,31971,40274,30892,24227,31698,37838,31092,23417,23105,12417,14810,24578,33792,41159
Buchanan,va,28029,19967,26060,27375,35000,50938,39141,28797,41623,35905,40139,66932,20026,14643,16307,23011,31733,40147
Buckingham,va,29122,15969,30572,23594,40217,41042,27321,23920,30702,18710,42981,65250,29268,7179,30474,27805,39750,39010
Campbell,va,32468,20525,27018,36245,41069,47561,38509,22130,31661,44319,44639,56902,28000,12206,21110,30318,35017,43614
Caroline,va,38494,21636,32506,40071,59063,61500,43867,24609,39107,49385,61154,88750,30892,17618,28294,30586,57064,50606
Carroll,va,24957,19647,22814,26266,36390,42731,28546,22115,26982,34180,37188,41250,21208,17596,16549,22376,35849,42879
Charles City,va,31500,18229,30510,32500,41576,67596,33844,22448,36132,36429,36641,80781,30080,10670,23664,31531,42283,61705
Charlotte,va,27330,17477,26008,26364,36977,41667,31940,17700,31200,33575,41726,62708,22168,17269,18214,20875,33317,40192
Chesterfield,va,43585,22364,32434,40757,54179,68632,52033,26336,38898,49524,71053,92261,37360,18932,26980,34608,45463,56058
Clarke,va,44276,23828,32244,46415,66750,73721,53484,27316,40824,58302,88482,107266,40380,11607,26190,41103,49722,67273
Craig,va,29701,20313,29830,30247,32153,66424,36768,21082,32609,40000,45915,66424,24315,17105,23452,25474,30069,91250
Culpeper,va,38890,21257,30080,39903,53327,61667,44097,24933,38552,52903,70038,73889,30783,15972,21400,31621,44950,57614
Cumberland,va,31791,26947,28325,34401,38173,41984,33476,26333,29433,44500,43867,52344,30075,27702,21786,29115,33750,40907
Dickenson,va,29295,26433,28147,26168,40000,45938,35670,31838,34825,32174,44063,45982,21574,13702,16738,21633,37727,44821
Dinwiddie,va,36291,24866,33847,38438,41820,50673,40869,27361,41588,43307,41422,65750,30917,16635,25900,30654,41991,48209
Essex,va,26714,21469,25743,28052,42137,55114,34729,25450,37734,37212,43333,48625,21693,18669,20404,24413,40104,62750
Fairfax,va,59709,22476,30980,43721,70146,102028,74056,26666,36447,49969,85520,120274,48313,17574,25962,38243,57234,77300
Fauquier,va,47324,28826,38855,43980,62180,85688,59401,36103,46852,57003,85998,112262,36611,18662,29886,35311,40601,67719
Floyd,va,27412,18047,27432,27353,29250,42768,34467,23163,32764,38165,49167,52955,21167,13115,19343,22316,22434,39892
Fluvanna,va,38652,22500,29673,38785,47475,64879,44047,35905,33267,47647,54058,79466,35909,16137,26802,35780,44136,48287
Franklin,va,30941,21942,27086,30951,39837,48095,33362,27050,31411,35290,42043,50000,27416,16719,21531,29158,38473,44167
Frederick,va,38900,24797,32794,38922,52045,66723,46757,28536,39310,48468,72119,84167,31758,20075,25617,32478,38603,56146
Giles,va,33465,25208,30575,32617,41750,49286,37986,30882,33824,37092,51193,61071,28059,23804,24676,29032,34915,29792
Gloucester,va,36509,21069,32513,36935,42068,54007,46952,22958,46344,46659,62570,65707,28153,10974,25817,27252,38323,49273
Goochland,va,42767,15148,29797,31768,61051,84135,55952,18828,40920,43210,86280,106155,28886,10227,18043,26840,46719,60000
Grayson,va,25203,17150,24232,25170,42288,50256,30807,22956,30298,35039,46786,44375,20484,14453,18167,20898,40286,51534
Greene,va,36687,30917,32090,41038,53895,47344,41490,31979,36703,41989,70577,70688,32081,21481,25421,39806,48333,39352
Greensville,va,28142,16979,26379,35148,32768,44000,31807,18750,31797,41053,26250,69167,25603,15333,23132,26850,34732,41563
Halifax,va,28554,20936,25234,27353,40968,50530,33537,21537,31765,36327,52719,81397,24627,18217,19657,24249,38551,43618
Hanover,va,44383,25392,33402,41564,58672,68188,53585,31394,40520,49605,75199,93040,37026,16402,28867,34491,44382,53601
Henrico,va,40533,19052,29957,35804,51526,67136,47705,21375,33189,41874,64615,85474,35100,16336,25108,32309,43256,53659
Henry,va,25643,18009,23661,26938,40424,57739,28167,21181,26846,30784,49179,60515,23228,13911,18769,25014,38618,47700
Highland,va,30146,22933,26350,30764,39569,40139,30727,24297,27237,41146,41667,68542,28000,10313,21953,21477,39397,36250
Isle of Wight,va,39387,17225,30664,39794,53683,70350,52556,21672,45316,54064,71089,94596,27297,12728,22877,26137,43915,55134
James City,va,40751,18013,27605,36411,50891,66111,54386,28099,39872,46827,64413,85357,30258,14552,24401,29587,37100,53914
King and Queen,va,30419,19318,33224,30779,40167,53269,38021,20737,38011,47024,70764,55694,24583,18381,26625,24438,9784,52788
King George,va,50027,29958,37394,47319,75867,100360,61736,34808,42842,56750,91684,115497,42055,23906,31673,44313,55000,81538
King William,va,41384,35337,40427,38646,44788,49620,46601,36567,48006,47035,52939,98333,34516,17222,30900,33638,43433,44309
Lancaster,va,28915,20346,25042,31361,40278,52813,31398,30938,25826,36409,53958,41875,26323,16161,22292,28804,34922,55972
