Curriculum:,Spring,2017,as of,2/21/2017 7:45,,,,,,,,
MA376,A,4,MWF, 1:00pm- 1:50pm,History of Mathematics,H, ,DAVI 201,14,28,0,Gouvea     
MA382,A,4,MWF,10:00am-10:50am,Mathematical Statistics II: Inference (See SC382),, , ,0, , ,O'Brien    
MA398,A,4,MWF,12:00n -12:50pm,Cryptography,, ,LOVE 208,20,28,13,Krumm      
MA411,A,4,MWF,10:00am-10:50am,Topics in Differential Equations,, ,DAVI 217,8,15,7,Holly      
MA434,A,4,MWF,11:00am-11:50am,Topics in Abstract Algebra,, ,DAVI 217,11,20,0,Gouvea     
ML122,A,3,MWF,10:00am-10:50am,Elementary Modern Standard Arabic IB,, ,LOVE 344,5,15,7,"Ahmed, M   "
ML124,A,3,MWF, 1:00pm- 1:50pm,Elementary Modern Standard Arabic IIB,, ,LOVE 203,0,15,8,"Ahmed, M   "
MU091,0,,,TBA,Music Lessons: Noncredit or JP,, , ,0,20, ,With Whom? 
MU093,A,,M, 7:00pm-10:00pm,"Applied Music: Ensemble, Noncredit (Orchestra)",, ,BIXL 219,9,25, ,Park       
MU093,B,,MW, 4:00pm- 6:00pm,"Applied Music: Ensemble, Noncredit (Chorale)",, ,BIXL 178,5,99, ,Wakeman    
MU093,C,,W, 7:00pm-10:00pm,"Applied Music: Ensemble, Noncredit (Collegium Musicum)",, ,BIXL 178,2,25, ,Wakeman    
MU093,D,,T, 7:00pm- 9:30pm,"Applied Music: Ensemble, Noncredit (Wind Ensemble)",, ,BIXL 219,6,25, ,"Thomas, E  "
MU093,E,,R, 7:00pm- 9:30pm,"Applied Music: Ensemble, Noncredit (Jazz Band)",, ,BIXL 219,4,25, ,"Thomas, E  "
MU093,F,,TR, 7:00pm-10:00pm,"Applied Music: Ensemble, Noncredit (African Drumming)",, ,BIXL 178,6,25, ,Benissan   
MU093,G,,M, 6:00pm- 7:00pm,"Applied Music: Ensemble, Noncredit (Flute Choir)",, ,BIXL 226,0,25, ,Rabata     
MU093,H,,W,TBA,"Applied Music: Ensemble, Noncredit (Guitar Ensemble)",, ,BIXL 226,0,25, ,Leighton   
MU093,I,,M, 5:30pm- 6:30pm,"Applied Music: Ensemble, Noncredit (String Ensemble)",, ,BIXL 219,0,25, ,Park       
MU093,J,,,TBA,"Applied Music: Ensemble, Noncredit (Guitar Ensemble)",, ,BIXL 226,0,25, ,Dimow      
MU093,K,,M,TBA,"Applied Music: Ensemble, Noncredit (Trumpet Ensemble)",, ,BIXL 154,0,25, ,Whitener   
MU093,L,,,TBA,"Applied Music: Ensemble, Noncredit (Piano Ensemble)",, , ,1,25, ,Funahashi  
MU093,M,,T, 4:00pm- 6:00pm,"Applied Music: Ensemble, Noncredit (Chamber Choir)",, ,BIXL 178,0,25, ,Wakeman    
MU093,N,,,TBA,"Applied Music: Ensemble, Noncredit (Chamber Ensemble)",, , ,1,25, ,Rabata     
MU182,A,4,TR, 9:30am-10:45am,Music Theory II,, ,BIXL 150,20,25,5,Giles      Nuss       
MU191,0,1 to 2,,TBA,Music Lessons: Credit,, , ,0,20, ,With Whom? 
MU193,A,1,M, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (Orchestra),, ,BIXL 219,12,25, ,Park       
MU193,B,1,MW, 4:00pm- 6:00pm,Applied Music: Ensemble for Credit (Chorale),, ,BIXL 178,3,99, ,Wakeman    
MU193,C,1,W, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (Collegium Musicum),, ,BIXL 178,3,25, ,Wakeman    
MU193,D,1,T, 7:00pm- 9:30pm,Applied Music: Ensemble for Credit (Wind Ensemble),, ,BIXL 219,2,25, ,"Thomas, E  "
MU193,E,1,R, 7:00pm- 9:30pm,Applied Music: Ensemble for Credit (Jazz Band),, ,BIXL 219,5,25, ,"Thomas, E  "
MU193,F,1,TR, 7:00pm-10:00pm,Applied Music: Ensemble for Credit (African Drumming),, ,BIXL 178,4,25, ,Benissan   
MU193,G,1,M, 6:00pm- 7:00pm,Applied Music: Ensemble for Credit (Flute Choir),, ,BIXL 226,0,25, ,Rabata     
MU193,H,1,W,TBA,Applied Music: Ensemble for Credit (Guitar Ensemble),, ,BIXL 226,3,25, ,Leighton   
MU193,I,1,M, 5:30pm- 6:30pm,Applied Music: Ensemble for Credit (String Ensemble),, ,BIXL 219,2,25, ,Park       
MU193,J,1,,TBA,Applied Music: Ensemble for Credit (Guitar Ensemble),, ,BIXL 226,0,25, ,Dimow      
MU193,K,1,M,TBA,Applied Music: Ensemble for Credit (Trumpet Ensemble),, ,BIXL 154,0,25, ,Whitener   
MU193,L,1,,TBA,Applied Music: Ensemble for Credit (Piano Ensemble),, , ,2,25, ,Funahashi  
MU193,M,1,T, 4:00pm- 6:00pm,Applied Music: Ensemble for Credit (Chamber Choir),, ,BIXL 178,0,25, ,Wakeman    
MU193,N,1,,TBA,Applied Music: Ensemble for Credit (Chamber Ensemble),, , ,2,25, ,Rabata     
MU193,O,1,,TBA,Applied Music: Ensemble for Credit (Chamber Ensemble),, , ,5,25, ,"Thomas, E  "
MU213,A,4,MW, 1:00pm- 2:15pm,Introduction to Computer Music,A, ,BIXL 226,12,10,0,Hallstrom  
MU234,A,4,MW, 2:30pm- 3:45pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll,A, ,BIXL 226,19,20,6,Zelensky   
MU242,A,4,MW, 2:30pm- 3:45pm,Music History II: High Baroque to the Dawn of Romanticism,, ,BIXL 150,4,25,6,Giles      
MU262,A,4,TR, 9:30am-10:45am,"Music in Life, Music as Culture: Introduction to Ethnomusicology",A,I ,BIXL 102,13,12,0,Zelensky   
MU275,A,4,TR, 2:30pm- 3:45pm,"Cultured Tough Guys: Samurai Devotion, Music, Poetry, and Art",A,I ,LORI CHAP,27,30,2,Nuss       
MU282,A,4,MW,11:00am-12:15pm,Music Theory IV,, ,BIXL 226,8,18,3,Hallstrom  
MU493,A,4,W, 7:00pm- 9:30pm,Seminar: Sounds of Maine,, ,BIXL 150,3,15,0,Zelensky   
PH120,A,4,TR, 2:30pm- 3:45pm,Space ... The Final Frontier,W1, ,MILL 319,17,16, ,McCoy      
PH120,A,4,M, 7:00pm-10:00pm,Space ... The Final Frontier,W1, ,MILL 014,17,16, ,McCoy      
PH145,A,4,MWF,11:00am-11:50am,Foundations of Electromagnetism and Optics,"N,Lb", ,KEYE 105,39,44,15,Conover    
PH145,B,4,MWF,12:00n -12:50pm,Foundations of Electromagnetism and Optics,"N,Lb", ,KEYE 105,35,44,15,Conover    
PH145 D,A,,M, 1:00pm- 1:50pm,Disc: Electromag/Optics,, ,MUDD 311,20,22, ,Lessard    
PH145 D,B,,M, 2:30pm- 3:20pm,Disc: Electromag/Optics,, ,MUDD 311,17,22, ,Lessard    
PH145 D,C,,T, 1:00pm- 1:50pm,Disc: Electromag/Optics,, ,MUDD 311,22,22, ,Lessard    
PH145 D,D,,T, 3:00pm- 3:50pm,Disc: Electromag/Optics,, ,MUDD 311,15,22, ,Lessard    
PH145 L,A,,T, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,15,16, ,Pagano     
PH145 L,B,,W, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,16,16, ,Tate       
PH145 L,C,,R, 9:00am-11:50am,Lab: Electromag/Optics,, ,MUDD 322,16,16, ,Lessard    
PH145 L,D,,R, 2:00pm- 4:50pm,Lab: Electromag/Optics,, ,MUDD 322,12,16, ,Pagano     
PH145 L,E,,F, 1:00pm- 3:50pm,Lab: Electromag/Optics,, ,MUDD 322,15,16, ,Lessard    
PH231,A,4,MWF,12:00n -12:50pm,Introduction to Astrophysics (See AS231),"N,Lb", , ,0, , ,McGrath    
PH231,A,4,R, 1:00pm- 3:50pm,Introduction to Astrophysics (See AS231),"N,Lb", , ,0, , ,McGrath    
PH242,A,4,MWF, 9:00am- 9:50am,Modern Physics II,, ,MUDD 405,16,24,9,Bluhm      
PH242,A,4,T, 1:00pm- 1:50pm,Modern Physics II,, ,MUDD 405,16,24,9,Bluhm      
PH242 L,A,,T, 2:00pm- 2:50pm,Lab: Modern Physics II,, ,MUDD 405,8,12, ,Tate       
PH242 L,B,,T, 2:00pm- 2:50pm,Lab: Modern Physics II,, ,MUDD 405,8,12, ,Lessard    
PH311,A,4,MTWF,10:00am-10:50am,Classical Mechanics,, ,MUDD 311,13,15,7,Tate       
PH332,A,4,MTWF,11:00am-11:50am,Thermodynamics and Statistical Mechanics,, ,MUDD 311,14,24,3,Bluhm      
PH333,A,4,WF, 1:00pm- 2:50pm,Experimental Soft Matter Physics,, ,MUDD 311,7,15,0,McCoy      
PH402,A,1,M, 3:00pm- 4:00pm,Senior Physics and Astronomy Colloquium,, ,MUDD 405,9,24, ,McCoy      
PL111,A,4,TR, 9:30am-10:45am,Central Philosophical Issues: Self and Society,S, ,LOVE 246,11,30,0,Gordon     
PL113,A,4,MWF,10:00am-10:50am,Central Philosophical Issues: On Being Human,S, ,LOVE 211,22,30,7,Dacey      
PL151,A,4,MWF,11:00am-11:50am,Logic and Argumentation,Q, ,LOVE 100,74,75,3,Cohen      
PL213,A,4,TR, 1:00pm- 2:15pm,Philosophical Inquiries into Race,S,U ,LOVE 119,25,25,0,Gordon     
PL232,A,4,TR, 2:30pm- 3:45pm,History of Modern Philosophy,H, ,LOVE 119,26,25,13,Moland     
PL234,A,4,TR,11:00am-12:15pm,Philosophy and Art,A, ,BIXL 102,17,25,2,Moland     
PL243,A,4,TR, 9:30am-10:45am,Environmental Ethics,, ,LOVE 303,24,25,0,Peterson   
PL277,A,1,,TBA,Reuman Reading Group,, , ,18,16, ,Cohen      
PL317,A,4,T, 7:00pm-10:00pm,Philosophy of Science,, ,LOVE 246,14,15,12,Cohen      
PL378,A,4,TR,11:00am-12:15pm,Contemporary Continental Philosophy,, ,LOVE 246,3,15,0,Peterson   
PL398,A,4,MW, 1:00pm- 2:15pm,Philosophy of Cognitive Science,, ,LOVE 246,14,15,8,Dacey      
PL402,A,1,,TBA,Philosophy Colloquium II,, , ,8,18, ,Cohen      Gordon     Moland     Peterson    
PS111,A,4,MWF,10:00am-10:50am,Introduction to Psychology,S, ,LOVE 100,90,90,7,Bell       Coane      Glenn      Raag       Soto        
PS215,A,4,T,11:00am-12:15pm,Research Methods and Statistics in Psychology II,W2, ,DAVI 301,32,30,4,Arterberry 
PS215,A,4,R,11:00am-12:15pm,Research Methods and Statistics in Psychology II,W2, ,DAVI 308,32,30,4,Arterberry 
PS215,B,4,T, 2:30pm- 3:45pm,Research Methods and Statistics in Psychology II,W2, ,DAVI 301,22,30,4,Arterberry 
PS215,B,4,R, 2:30pm- 3:45pm,Research Methods and Statistics in Psychology II,W2, ,DAVI 308,22,30,4,Arterberry 
PS215 L,A,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,16,12, ,Bell       
PS215 L,B,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,11,12, ,Bell       
PS215 L,C,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,16,12, ,Arterberry 
PS215 L,D,,,TBA,Lab: Research Methods and Statistics in Psychology II,, , ,11,12, ,Arterberry 
PS232,A,4,MW,11:00am-12:15pm,Cognitive Psychology,, ,DAVI 301,30,30,6,Coane      
PS232,B,4,MW, 2:30pm- 3:45pm,Cognitive Psychology,, ,DAVI 301,29,30,6,Coane      
PS233,A,4,MW, 1:00pm- 2:15pm,Biological Basis of Behavior,, ,MILL 008,36,30,8,Glenn      
PS236,A,4,MWF, 9:00am- 9:50am,"Drugs, Brain, and Behavior",, ,DAVI 301,34,30,9,Yeterian   
PS251,A,4,TR, 1:00pm- 2:15pm,Personality Psychology,, ,DAVI 301,29,30,1,Soto       
PS253,A,4,TR, 9:30am-10:45am,Social Psychology,, ,DAVI 301,35,30,5,Bell       
PS343,A,4,MW, 2:30pm- 3:45pm,Seminar in Emotion Theory and Research,, ,DAVI 307,10,10,6,Sheets     
PS344,A,1,,TBA,Collaborative Research in Emotion,, , ,10,10, ,Sheets     
PS354,A,4,TR, 9:30am-10:45am,Seminar in Emerging Adulthood,, ,DAVI 307,11,10,0,Raag       
PS355,A,1,,TBA,Collaborative Research in Emerging Adulthood,, , ,11,10, ,Raag       
PS374,A,4,MW,11:00am-12:15pm,Seminar: Psychology and Neuroscience,, ,DAVI 307,7,10,3,Glenn      
PS375,A,4,MW, 1:00pm- 2:15pm,Seminar: Human Neuropsychology,, ,DAVI 307,10,10,0,Yeterian   
PS420,A,3,W, 7:00pm- 9:30pm,Senior Integrative Seminar,, ,DAVI 301,17,20,0,Glenn      
PS420,A,3,F, 3:00pm- 4:00pm,Senior Integrative Seminar,, ,DAVI 301,17,20,0,Glenn      
RE111,A,4,TR, 1:00pm- 2:15pm,Religions of India,S, ,LOVE 205,30,30,0,Singh      
RE144,A,4,MW,11:00am-12:15pm,Introduction to the New Testament,L, ,LOVE 215,34,35,3,Mandolfo   
RE182,A,4,MW, 2:30pm- 3:45pm,"Jews, Judaism, and the Modern World",H,I ,LOVE 212,19,35,6,Wexler     
RE216,A,4,TR, 9:30am-10:45am,Church History and Theology in Medieval Europe (See HI216),H, , ,0, , ,"Taylor, L  "
RE217,A,4,TR,11:00am-12:15pm,Religion in the United States,H, ,LOVE 205,26,25,0,"Campbell,D "
RE246,A,4,WF, 2:30pm- 3:45pm,Religion and Everyday Life in Muslim Societies (See AY246),,I , ,0, , ,Strohl     
RE257,A,4,TR, 9:30am-10:45am,Women in American Religion,H,U ,LOVE 205,25,25,0,"Campbell,D "
RE319,A,4,W, 1:00pm- 3:30pm,Bollywood and Beyond: South Asian Religions through Film,L,I ,LOVE 344,14,12,0,Singh      
RE357,A,4,M, 1:00pm- 3:30pm,<I>Jesus Christ Superstar</I>: The Bible in Film,A, ,LOVE 344,10,13,1,Mandolfo   
RE398,A,4,MW, 7:00pm- 8:15pm,Jewish Short Stories,L,I ,LOVE 344,13,13,2,Wexler     
RU126,A,4,MF, 1:00pm- 1:50pm,Elementary Russian II,, ,LOVE 450,6,19,2,Murphy     
RU126,A,4,TR,11:00am-11:50am,Elementary Russian II,, ,LOVE 450,6,19,2,Murphy     
RU128,A,4,MTRF,12:00n -12:50pm,Intermediate Russian,, ,LOVE 450,5,19,13,Murphy     
RU135,A,1,W,12:00n -12:50pm,Conversation Group,, ,LOVE 202,5,10, ,Shilova    
RU198,A,1,R, 7:00pm- 8:00pm,The Russian Novel: <I>Doctor Zhivago</I> (in English),, ,LOVE 302,3, , ,Ansdell    
RU242,A,4,TR, 2:30pm- 3:45pm,Russian Cinema from Lenin to Putin (in English),A,I ,LOVE 307,4,25,4,Ansdell    
RU242,A,4,W, 7:00pm- 9:00pm,Russian Cinema from Lenin to Putin (in English),A,I ,LOVE 205,4,25,4,Ansdell    
RU335,A,1,,TBA,Conversation Group,, , ,2,10, ,Shilova    
RU428,A,4,MWF,11:00am-11:50am,The 20th-Century Russian Novel,L, ,LOVE 450,3,10,7,Ansdell    
SC212,A,4,MWF, 9:00am- 9:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,27,28,11,O'Brien    
SC212,B,4,MWF,10:00am-10:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,28,28,11,Scott      
SC212,C,4,MWF,11:00am-11:50am,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,28,28,11,Scott      
SC212,D,4,MWF,12:00n -12:50pm,Introduction to Statistical Methods,"Q,W2", ,DAVI 201,27,28,11,Lu         
SC212 L,A,,W,11:00am-11:50am,Lab: Intro Stat Meth,, ,DAVI 308,29,28, ,O'Brien    
SC212 L,B,,W, 1:00pm- 1:50pm,Lab: Intro Stat Meth,, ,DAVI 308,26,28, ,Lu         
SC212 L,C,,W, 2:00pm- 2:50pm,Lab: Intro Stat Meth,, ,DAVI 308,27,28, ,Scott      
SC212 L,D,,W, 3:00pm- 3:50pm,Lab: Intro Stat Meth,, ,DAVI 308,28,28, ,Scott      
SC321,A,4,MWF,12:00n -12:50pm,Applied Regression Modeling,, ,DAVI 308,28,28,13,Scott      
SC382,A,4,MWF,10:00am-10:50am,Mathematical Statistics II: Inference,, ,DAVI 301,22,28,7,O'Brien    
SO131,A,4,TR, 9:30am-10:45am,Introduction to Sociology,S,U ,LOVE 215,44,45,5,Blake      
SO213,A,4,TR,11:00am-12:15pm,Schools and Society (See ED213),,U , ,0, , ,Howard     
SO271,A,4,MW, 2:30pm- 3:45pm,Introduction to Sociological Research Methods,Q, ,DIAM 221,24,25,0,Denier     
SO298A,A,4,MW, 7:00pm- 8:15pm,Migration and Migrants in the United States,S, ,DIAM 221,23,20,0,Denier     
SO298B,A,4,TR, 9:30am-10:45am,Starting a Business or Nonprofit? Lessons from Sociology,S, ,DIAM 221,19,20,5,Aviles     
SO298C,A,4,TR,11:00am-12:15pm,Urban Sociology in a Global Context,S, ,DIAM 221,17,20,2,"Perez, M   "
SO298D,A,4,TR, 1:00pm- 2:15pm,Life Sciences and Society,S, ,DIAM 221,17,20,0,Aviles     
SO322,A,4,M, 1:00pm- 3:30pm,Social Class and Schooling (See ED322),,U , ,0, , ,Howard     
SO357,A,4,T, 1:00pm- 3:30pm,"Civil Rights, Black Power, and Social Change",S,U ,DIAM 243,16,20,1,Gilkes     
SO364,A,4,MW,11:00am-12:15pm,Policing the American City,S, ,DIAM 221,21,20,3,Gross      
SO398,A,4,MW, 1:00pm- 2:15pm,American Class Structure,S, ,DIAM 221,19,20,8,Gross      
SP126,A,4,MTWR, 8:00am- 8:50am,Elementary Spanish II,, ,LOVE 103,17,19,10,GarciaPinr 
SP126,B,4,MTWR, 9:00am- 9:50am,Elementary Spanish II,, ,LOVE 103,17,19,10,GarciaPinr 
SP126,C1,4,MTWR,10:00am-10:50am,Elementary Spanish II,, ,LOVE 103,17,19,10,Allbritton 
SP126,C2,4,MTWR,10:00am-10:50am,Elementary Spanish II,, ,LOVE 102,17,19,10,Quan       
SP126,D,4,MTWR,11:00am-11:50am,Elementary Spanish II,, ,LOVE 202,19,19,10,Mata       
SP127,A,4,MTWR, 8:00am- 8:50am,Intermediate Spanish I,, ,LOVE 202,16,19,10,Quan       
SP127,B,4,MTWR, 9:00am- 9:50am,Intermediate Spanish I,, ,LOVE 212,18,19,10,"White, B   "
SP127,C,4,MTWR,10:00am-10:50am,Intermediate Spanish I,, ,LOVE 202,19,19,10,Hey-Colon  
SP127,D1,4,MTWR,11:00am-11:50am,Intermediate Spanish I,, ,LOVE 211,15,19,10,"White, B   "
SP127,D2,4,MTWR,11:00am-11:50am,Intermediate Spanish I,, ,LOVE 103,16,19,10,"Martinez,M "
SP127,E,4,MTWR,12:00n -12:50pm,Intermediate Spanish I,, ,LOVE 103,19,19,10,"Martinez,M "
SP128,A,4,TR, 9:30am-10:45am,Intermediate Spanish II,, ,LOVE 318,13,15,10,Millones   
SP128,B,4,TR, 1:00pm- 2:15pm,Intermediate Spanish II,, ,LOVE 318,10,15,10,Millones   
SP131,A,4,MW, 1:00pm- 2:15pm,Conversation and Composition,, ,LOVE 303,11,15,8,Mata       
SP131,B,4,TR, 9:30am-10:45am,Conversation and Composition,, ,LOVE 307,7,15,5,Savo       
SP135,A,4,MW, 1:00pm- 2:15pm,Introduction to Literary Analysis,L, ,LOVE 211,11,15,1,"White, B   "
SP135,B,4,TR, 1:00pm- 2:15pm,Introduction to Literary Analysis,L, ,LOVE 211,14,15,1,Savo       
SP198,A,1,W, 7:00pm- 8:15pm,Telling Stories and Making Books in Medieval Iberia,, ,LOVE 318,7,15, ,Savo       
SP231,A,4,MTWR,10:00am-10:50am,Advanced Spanish,, ,LOVE 301,8,15,7,Bollo      
SP269,A,4,MW, 1:00pm- 2:15pm,Spanish Cultural Studies,A,I ,LOVE 301,13,15,0,Allbritton 
SP298,A,4,MW, 2:30pm- 3:45pm,Uncanny Horror: Tracing the Fantastic in Latin America,L, ,LOVE 301,14,15,0,"Martinez,M "
SP352,A,4,TR,11:00am-12:15pm,<I>Don Quijote</I>,L, ,LOVE 301,16,15,0,Bollo      
SP493,A,4,T, 1:00pm- 3:30pm,Seminar: Resistant Fluidities in Caribbean and Latina Literature,L,U ,LOVE 301,14,15,0,Hey-Colon  
ST112,A,4,M, 2:30pm- 3:45pm,"Science, Technology, and Society",S, ,MILL 014,18,16,0,Fleming    
ST112,A,4,W, 2:30pm- 3:45pm,"Science, Technology, and Society",S, ,DIAM 242,18,16,0,Fleming    
ST112W,A,4,M, 2:30pm- 3:45pm,"Science, Technology, and Society (Writing-intensive)","S,W1", ,MILL 014,16,16, ,Fleming    
ST112W,A,4,W, 1:00pm- 2:15pm,"Science, Technology, and Society (Writing-intensive)","S,W1", ,DIAM 242,16,16, ,Fleming    
ST233,A,4,MW, 1:00pm- 2:15pm,Biological Basis of Behavior (See PS233),, , ,0, , ,Glenn      
ST285,A,4,TR, 9:30am-10:45am,History of Photography (See AR285),A, , ,0, , ,Saltz      
ST298B,A,4,TR, 2:30pm- 3:45pm,Weird Fictions (See GM298B),, , ,0, , ,Ellis      
ST298D,A,4,TR, 1:00pm- 2:15pm,Life Sciences and Society (See SO298D),S, , ,0, , ,Aviles     
ST317,A,4,T, 7:00pm-10:00pm,Philosophy of Science (See PL317),, , ,0, , ,Cohen      
ST486,A,4,,TBA,Senior Project: The Craft of Research,, ,DIAM 242,2,16,0,Fleming    
TD115B,A,2,M, 2:00pm- 4:00pm,Theater Technique Lab: British Dialect Scene Study,, ,RUNN SMIT,11,15,0,Weinblatt  
TD117A,A,2,MW, 2:30pm- 4:00pm,Contemporary Dance Technique Lab: Beginning/Partnering,, ,RUNN 201,14,15,0,Kloppenbrg 
TD117B,A,2,TR,11:00am-12:30pm,Contemporary Dance Technique Lab: Intermediate/Ballet,, ,RUNN 201,10,15,0,Patterson  
TD135,A,4,TR, 9:30am-10:45am,Introduction to Design,A, ,RUNN 110,9,16,5,Thurston   
TD139,A,4,M, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,4,4,0,Ervin      
TD139,B,4,T, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,4,4,0,Ervin      
TD139,C,4,R, 1:00pm- 4:00pm,Stagecraft I,A, ,RUNN SHOP,3,4,0,Ervin      
TD164,A,1,,TBA,Applied Performance/Production,, ,RUNN THTR,9,25, ,Thurston   
TD226,A,4,MW,11:00am-12:15pm,Performance History II,L, ,RUNN 110,7,15,3,Oldham     
TD239,A,4,W, 1:00pm- 4:00pm,Stagecraft II,, ,RUNN SHOP,0,4,0,Ervin      
TD241,A,4,MW, 2:30pm- 3:45pm,Playwriting Workshop: Solo Performance and Devised Theater,A, ,RUNN 110,11,12,0,Oldham     
TD261,A,4,F, 1:00pm- 3:30pm,Topics in Theater Performance: What is Character?,, ,RUNN SMIT,6,12,0,Bercovici  
TD264C,A,2,,TBA,"Applied Performance/Production: <I>Late, A Cowboy Song</I>",A, ,RUNN THTR,10,30, ,Bercovici  
TD281,A,4,TR, 9:00am-10:50am,Directing,, ,RUNN SMIT,7,12,0,Bercovici  
TD339,A,4,F, 1:00pm- 4:00pm,Stagecraft III,, ,RUNN SHOP,0,4,0,Ervin      
TD361,A,4,TR,11:00am-12:15pm,"Advanced Topics in Performance: In-Yer-Face! Sex, Violence, and Modern British Theater",L, ,RUNN 110,6,15,0,Oldham     
TD493,A,4,M, 7:00pm-10:00pm,Senior Seminar,, ,RUNN 110,5,10,0,Kloppenbrg 
WG201,A,4,MW,11:00am-12:15pm,"Introduction to Women's, Gender, and Sexuality Studies",,U ,LOVE 319,19,20,3,"Thomas, S  "
WG232,A,4,TR,11:00am-12:15pm,Queer Identities and Politics,,U ,LOVE 319,19,25,0,Arellano   
WG398,A,4,MW, 1:00pm- 2:15pm,Feminism and Decoloniality,,I ,MILL 241,8,20,8,"Thomas, S  "
WG493,A,4,T, 1:00pm- 3:30pm,"Seminar: Identity Formation, Social Movement, and Gender",, ,MILL 241,5,15,0,Arellano   
WP112,A,1,,TBA,Writers' Workshop,, , ,20,20, ,Harrington Sheriff     
WP115C,A,4,TR, 9:30am-10:45am,First-Year Writing: Reimagining  the Essay,W1, ,MILL 319,16,16, ,Ketner     
WP115D,A,4,MWF,11:00am-11:50am,First-Year Writing: Food for Thought,W1, ,MILL 319,16,16, ,Stokes     
WP115E,A,4,MW, 1:00pm- 2:15pm,First-Year Writing: Writing through the Multicultural Lens,W1, ,LOVE 103,15,16, ,Gherwash   
WP120A,A,4,TR, 1:00pm- 2:15pm,"Language, Thought, and Writing: Literary Conversations",W1, ,MILL 008,14,16, ,Ketner     
