#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 06 07 50 317  5.5  7.4  1.03  4.76  4.33 999 1012.5  -1.5   7.6 -10.0 99.0 99.00
2012 01 06 08 50 311  3.9  5.6  1.02  4.76  4.32 999 1012.5  -1.5   7.6  -9.9 99.0 99.00
2012 01 06 09 50 302  2.9  4.5  0.90  4.76  4.44 999 1012.4  -1.3   7.6  -9.7 99.0 99.00
2012 01 06 10 50 272  2.6  4.2  0.91  4.35  4.42 999 1013.1  -1.0   7.6  -9.4 99.0 99.00
2012 01 06 11 50 258  2.8  5.7  0.71  4.17  4.35 999 1013.4  -0.7   7.6 -10.0 99.0 99.00
2012 01 06 12 50 285  3.8  5.2  0.67 10.81  4.41 999 1013.6  -0.7   7.6  -9.0 99.0 99.00
2012 01 06 13 50 196  1.0  1.7  0.71 10.81  4.62 999 1014.1  -1.6   7.6  -7.6 99.0 99.00
2012 01 06 14 50 144  1.2  2.2  0.70 10.00  4.81 999 1014.0  -1.5   7.6  -5.7 99.0 99.00
2012 01 06 15 50 118  4.0  5.6  0.68 10.00  5.23 999 1012.5  -1.1   7.6  -4.5 99.0 99.00
2012 01 06 16 50 143  5.7  7.5  0.67 10.00  5.69 999 1011.5   0.2   7.6  -2.3 99.0 99.00
2012 01 06 17 50 151  7.1  8.5  0.68 10.81  5.04 999 1010.3   1.5   7.6  -1.1 99.0 99.00
2012 01 06 18 50 156  8.8 10.5  0.82 10.81  4.43 999 1009.3   2.9   7.6   0.3 99.0 99.00
2012 01 06 19 50 162  9.7 11.3  0.92  3.57  3.93 999 1008.6   4.1   7.6   0.7 99.0 99.00
2012 01 06 20 50 167 10.7 12.6  1.10  4.17  4.10 999 1007.9   5.2   7.7   2.3 99.0 99.00
2012 01 06 21 50 171 11.4 13.2  1.39  5.00  4.33 999 1006.7   6.0   7.7   3.5 99.0 99.00
2012 01 06 22 50 180  9.3 12.0  1.69  5.26  4.50 999 1006.5   6.8   7.7   4.9 99.0 99.00
2012 01 06 23 50 192  7.7  9.5  1.82  6.25  4.95 999 1006.7   7.4   7.7   6.1 99.0 99.00
2012 01 07 00 50 230  4.5  5.6  1.68  6.25  4.98 999 1006.8   7.7   7.7   7.0 99.0 99.00
2012 01 07 01 50 300  5.5  6.9  1.63  5.88  5.10 999 1006.4   6.8   7.7   6.0 99.0 99.00
2012 01 07 02 50 301  2.1  2.6  1.43  6.67  5.24 999 1006.8   6.3   7.7   6.0 99.0 99.00
2012 01 07 03 50 275  2.3  2.8  1.18  6.25  5.09 999 1006.4   6.4   7.7   5.7 99.0 99.00
2012 01 07 04 50 304  3.0  3.7  1.13  6.25  5.20 999 1006.6   6.0   7.7   5.6 99.0 99.00
2012 01 07 05 50 297  1.6  2.3  1.11  5.88  5.19 999 1006.6   5.5   7.7   5.2 99.0 99.00
2012 01 07 06 50 301  1.2  2.2  1.12  5.88  5.21 999 1006.9   5.5   7.7   5.1 99.0 99.00
2012 01 07 07 50 180  0.1  0.4  1.10  6.25  5.22 999 1006.8   5.6   7.8   5.1 99.0 99.00
2012 01 07 08 50 348  1.3  1.7  1.00  5.88  5.15 999 1006.7   5.7   7.7   5.0 99.0 99.00
2012 01 07 09 50 158  1.5  2.2  0.98  5.88  5.14 999 1006.9   6.0   7.7   5.1 99.0 99.00
2012 01 07 10 50 129  0.8  1.7  0.92  5.26  4.92 999 1006.5   6.4   7.8   5.9 99.0 99.00
2012 01 07 11 50 125  0.4  0.8  0.88  5.88  5.03 999 1007.0   6.6   7.6   6.4 99.0 99.00
2012 01 07 12 50 164  1.3  1.8  0.82  5.88  4.90 999 1006.9   7.1   7.6   6.8 99.0 99.00
2012 01 07 13 50 181  3.1  3.7  0.80  5.88  5.05 999 1007.0   7.6   7.6   5.8 99.0 99.00
2012 01 07 14 50 193  2.9  3.4  0.77  8.33  5.26 999 1006.6   7.6   7.7   6.2 99.0 99.00
2012 01 07 15 50 215  4.1  4.8  0.77  7.69  5.42 999 1005.9   7.7   7.7   5.8 99.0 99.00
2012 01 07 16 50 223  2.9  3.7  0.78  7.69  5.44 999 1004.5   7.7   7.8   6.1 99.0 99.00
2012 01 07 17 50 219  4.1  5.0  0.78  7.69  5.67 999 1003.9   7.8   7.7   6.2 99.0 99.00
2012 01 07 18 50 250  3.7  4.5  0.83  7.69  5.78 999 1004.0   7.8   7.7   6.3 99.0 99.00
2012 01 07 19 50 245  3.0  3.6  0.80  7.14  5.64 999 1004.1   7.8   7.7   6.2 99.0 99.00
2012 01 07 20 50 239  4.8  5.6  0.85  7.14  5.69 999 1004.2   7.5   7.7   6.1 99.0 99.00
2012 01 07 21 50 255  5.4  6.4  0.90  7.69  5.48 999 1004.7   7.4   7.7   5.9 99.0 99.00
2012 01 07 22 50 285  5.1  5.8  0.89  7.69  5.27 999 1005.5   7.1   7.7   6.6 99.0 99.00
2012 01 07 23 50 294  5.1  5.9  0.86  9.09  5.09 999 1006.2   6.6   7.7   6.2 99.0 99.00
2012 01 08 00 50 271  4.5  5.4  0.79  8.33  4.97 999 1006.4   6.8   7.7   6.3 99.0 99.00
2012 01 08 01 50 271  5.4  6.6  0.82  9.09  4.86 999 1007.1   7.2   7.7   6.0 99.0 99.00
2012 01 08 02 50 270  5.9  7.3  0.82  8.33  4.55 999 1007.6   7.6   7.7   5.4 99.0 99.00
2012 01 08 03 50 266  7.1  8.4  0.87  9.09  4.30 999 1008.1   8.1   7.7   5.0 99.0 99.00
2012 01 08 04 50 270  8.0  9.2  0.96  8.33  4.48 999 1008.3   7.9   7.7   4.1 99.0 99.00
2012 01 08 05 50 306  9.9 12.5  1.04  8.33  4.33 999 1009.1   7.6   7.7   3.6 99.0 99.00
2012 01 08 06 50 305  7.6  8.9  1.10  8.33  4.18 999 1010.3   6.7   7.6   3.3 99.0 99.00
2012 01 08 07 50 304  6.4  7.3  1.26  8.33  4.74 999 1011.5   6.0   7.6   2.9 99.0 99.00
2012 01 08 08 50 303  6.5  7.6  1.26  5.26  4.84 999 1011.9   6.4   7.6   2.6 99.0 99.00
2012 01 08 09 50 301  5.3  6.1  1.31  9.09  5.07 999 1012.7   6.6   7.6   2.3 99.0 99.00
2012 01 08 10 50 285  5.7  6.8  1.27  5.00  5.00 999 1013.5   6.7   7.6   2.4 99.0 99.00
2012 01 08 11 50 300  8.9 10.3  1.26  5.00  4.69 999 1014.1   6.9   7.6   0.9 99.0 99.00
2012 01 08 12 50 290  8.8 10.0  1.30  4.76  4.53 999 1015.0   6.6   7.7   0.3 99.0 99.00
2012 01 08 13 50 316  6.8  8.2  1.22  5.00  4.45 999 1016.4   5.8   7.7   0.5 99.0 99.00
2012 01 08 14 50 332  7.7  9.1  1.10  9.09  4.50 999 1017.5   5.2   7.6  -1.7 99.0 99.00
2012 01 08 15 50 341  6.0  7.3  1.17  5.00  4.47 999 1017.3   4.7   7.6  -2.3 99.0 99.00
2012 01 08 16 50 331  5.5  6.9  1.18  9.09  4.69 999 1017.4   4.2   7.6  -2.9 99.0 99.00
2012 01 08 17 50 323  6.1  7.3  1.22  9.09  4.67 999 1017.7   4.1   7.6  -3.2 99.0 99.00
2012 01 08 18 50 325  5.4  6.9  1.23  9.09  4.81 999 1017.9   4.1   7.6  -3.3 99.0 99.00
2012 01 08 19 50 315  4.8  6.3  1.32  9.09  5.13 999 1018.4   4.4   7.7  -3.2 99.0 99.00
2012 01 08 20 50 272  7.2 10.3  1.21  8.33  5.00 999 1018.9   4.8   7.6  -2.2 99.0 99.00
2012 01 08 21 50 296  8.0 10.0  1.20  9.09  4.64 999 1019.7   4.7   7.6  -3.6 99.0 99.00
2012 01 08 22 50 290  8.9 10.3  1.29  9.09  4.60 999 1020.5   4.1   7.6  -3.0 99.0 99.00
2012 01 08 23 50 288  9.0 11.0  1.42  4.55  4.47 999 1020.9   3.7   7.6  -4.3 99.0 99.00
2012 01 09 00 50 316  8.0 10.5  1.47  5.56  4.84 999 1021.6   3.1   7.6  -4.5 99.0 99.00
2012 01 09 01 50 330  7.2  9.9  1.45  5.88  4.74 999 1021.9   2.2   7.6  -6.2 99.0 99.00
2012 01 09 02 50 332  6.5  8.3  1.31  5.26  4.60 999 1022.0   1.7   7.6  -6.6 99.0 99.00
2012 01 09 03 50 345  6.8  9.2  1.20  4.55  4.51 999 1022.1   1.2   7.6  -6.4 99.0 99.00
2012 01 09 04 50 322  7.6  9.5  1.17  4.55  4.23 999 1022.3   1.0   7.6  -7.3 99.0 99.00
2012 01 09 05 50 328  8.8 10.8  1.17  4.76  4.19 999 1022.6   0.1   7.6  -6.7 99.0 99.00
2012 01 09 06 50 330  7.4  9.6  1.16  4.35  4.31 999 1023.0  -0.2   7.5  -7.2 99.0 99.00
2012 01 09 07 50 331  6.7  8.8  1.03  8.33  4.38 999 1023.5  -0.6   7.5  -7.5 99.0 99.00
2012 01 09 08 50 335  6.7  9.1  1.12  8.33  4.53 999 1023.3  -0.7   7.5  -7.3 99.0 99.00
2012 01 09 09 50 331  6.6  9.2  1.01  8.33  4.46 999 1023.9  -1.2   7.5  -7.3 99.0 99.00
2012 01 09 10 50 333  6.5  8.7  1.00  4.00  4.37 999 1024.2  -1.7   7.4  -8.2 99.0 99.00
2012 01 09 11 50 338  5.7  7.5  1.00  9.09  4.48 999 1024.4  -1.8   7.5  -8.5 99.0 99.00
2012 01 09 12 50 353  5.4  7.0  0.89  4.35  4.36 999 1024.5  -1.8   7.5  -8.6 99.0 99.00
2012 01 09 13 50 348  3.9  5.3  0.82  9.09  4.44 999 1024.7  -1.5   7.5  -7.9 99.0 99.00
2012 01 09 14 50 302  2.4  3.9  0.71  4.00  4.18 999 1024.7  -1.4   7.5  -8.5 99.0 99.00
2012 01 09 15 50 300  2.6  4.8  0.69  8.33  4.36 999 1024.0  -1.3   7.5  -9.9 99.0 99.00
2012 01 09 16 50 292  2.6  4.2  0.65  9.09  4.38 999 1023.1  -0.9   7.5 -10.8 99.0 99.00
2012 01 09 17 50 227  1.9  3.3  0.58  9.09  4.65 999 1022.1  -0.4   7.5 -10.1 99.0 99.00
2012 01 09 18 50 233  3.8  5.5  0.56  8.33  4.97 999 1021.3   0.0   7.6  -8.6 99.0 99.00
2012 01 09 19 50 217  4.9  7.7  0.56  8.33  5.14 999 1020.9   0.7   7.5  -6.4 99.0 99.00
2012 01 09 20 50 218  5.1  6.6  0.60  8.33  5.01 999 1020.5   1.4   7.5  -6.2 99.0 99.00
2012 01 09 21 50 224  7.2  9.1  0.65  8.33  4.31 999 1020.1   2.1   7.4  -6.3 99.0 99.00
2012 01 09 22 50 218  7.6  9.0  0.69  8.33  3.84 999 1019.6   2.6   7.4  -6.8 99.0 99.00
2012 01 09 23 50 223  8.6 10.4  0.84  3.85  3.65 999 1019.2   3.4   7.4  -5.6 99.0 99.00
2012 01 10 00 50 226  8.3 10.1  1.10  4.35  3.92 999 1018.5   3.7   7.4  -5.1 99.0 99.00
2012 01 10 01 50 219  9.2 10.7  1.19  4.76  4.10 999 1017.6   4.3   7.4  -2.8 99.0 99.00
2012 01 10 02 50 230  9.0 10.6  1.23  4.76  4.18 999 1016.8   4.8   7.4  -3.6 99.0 99.00
2012 01 10 03 50 229  8.6 10.6  1.47  5.26  4.47 999 1015.8   4.9   7.4  -3.5 99.0 99.00
2012 01 10 04 50 231  9.0 10.3  1.51  5.26  4.52 999 1014.8   4.7   7.4  -2.8 99.0 99.00
2012 01 10 05 50 235  9.4 11.0  1.62  5.56  4.62 999 1013.8   4.8   7.4  -4.1 99.0 99.00
2012 01 10 06 50 227  9.2 11.1  1.72  6.25  4.89 999 1013.3   4.8   7.4  -3.5 99.0 99.00
