Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
CH342,A,5,MWF,11:00am-11:50am,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 104,8,12,1,Madison    McKinney    
CH342,A,5,M, 1:00pm- 1:50pm,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 104,8,12,1,Madison    McKinney    
CH342,A,5,W, 1:00pm- 4:50pm,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 205,8,12,1,Madison    McKinney    
CH362,A,4,TR,11:00am-12:15pm,Medical Biochemistry (See BC362),, , ,0, , ,Peck       
CH362,A,4,F,12:00n -12:50pm,Medical Biochemistry (See BC362),, , ,0, , ,Peck       
CH368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,van Oers   
CH378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,van Oers   
CH494,A,1,F, 1:00pm- 1:50pm,Senior Seminar,, ,AREY 005,14,30, ,Madison    
CH494,A,1,F, 3:00pm- 4:30pm,Senior Seminar,, ,KEYE 105,14,30, ,Madison    
CH494,B,1,F, 1:00pm- 1:50pm,Senior Seminar (for Juniors),, ,AREY 005,4,30, ,Madison    
CH494,B,1,F, 3:00pm- 4:30pm,Senior Seminar (for Juniors),, ,KEYE 105,4,30, ,Madison    
CI142,A,4,MW,11:00am-12:15pm,Introduction to Cinema Studies,A, ,AREY 005,25,25,16,Wurtzler   
CI142,A,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies,A, ,AREY 005,25,25,16,Wurtzler   
CI142,B,4,MW, 2:30pm- 3:45pm,Introduction to Cinema Studies,A, ,AREY 005,23,25,16,Wurtzler   
CI142,B,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies,A, ,AREY 005,23,25,16,Wurtzler   
CI247,A,4,TR,11:00am-12:15pm,Visual Storytelling: Found Materials and the Archive,, ,MILL 253,15,15,4,"Murphy, E  "
CI252,A,4,TR, 1:00pm- 2:15pm,History of International Cinema II,A, ,LOVE 215,8,25,6,Kim        
CI252,A,4,W, 7:00pm-10:00pm,History of International Cinema II,A, ,AREY 005,8,25,6,Kim        
CI298,A,4,TR, 9:30am-10:45am,Streaming Media: Moving Images in the 21st Century,, ,LOVE 212,20,25,0,Kim        
CL133,A,4,MW, 2:30pm- 3:45pm,Greek Myth and Literature,L, ,LOVE 100,102,105,3,O'Neill    
CL324,A,4,T, 1:00pm- 3:00pm,History of Gender and Sexuality in Antiquity (See HI324),H,I , ,0, ,0,"Taylor, L  "
CN126,A,5,MTWRF, 9:00am- 9:50am,Elementary Chinese II,, ,LOVE 203,21,20,8,Besio      
CN128,A,4,MTWF,10:00am-10:50am,Intermediate Chinese II,, ,LOVE 307,8,20,7,"Wang, F    "
CN135,A,1,W, 4:00pm- 4:50pm,Chinese Conversation I,, ,LOVE 302,7,20, ,"Chang, E   "
CN235,A,1,F,11:00am-11:50am,Chinese Conversation II,, ,LOVE 202,3,20, ,"Chang, E   "
CN322,A,4,MW,11:00am-12:15pm,Third-Year Chinese II,, ,LOVE 423,1,20,1,Zhang      
CN335,A,1,M, 1:00pm- 1:50pm,Chinese Conversation III,, ,LOVE 302,2,18, ,"Chang, E   "
CN431,A,4,TR, 1:00pm- 2:15pm,Business Chinese,, ,LOVE 423,9,15,6,Zhang      
CS151,A,4,MWF,10:00am-10:50am,Computational Thinking: Visual Media,Q, ,LOVE 215,49,50,7,Wolfe      
CS151 L,A,,W, 1:00pm- 2:20pm,Lab: Comp Thnkg: Visual,, ,DAVI 102,24,25, ,Maxwell    
CS151 L,B,,R, 2:30pm- 3:50pm,Lab: Comp Thnkg: Visual,, ,DAVI 102,25,25, ,Maxwell    
