Year,Month,Temp
1798,1,-2.955
1798,2,-3.667
1798,3,2.73
1798,4,9.147
1798,5,16.626
1798,6,21.073
1798,7,22.59
1798,8,24.464
1798,9,0.093
1798,10,11.175
1798,11,2.048
1798,12,-4.384
1799,1,-3.225
1799,2,-3.793
1799,3,-0.33
1799,4,8.286
1799,5,14.396
1799,6,20.597
1799,7,22.982
1799,8,21.913
1799,9,-0.717
1799,10,9.933
1799,11,4.738
1799,12,-2.079
1800,1,-3.592
1800,2,-2.855
1800,3,1.467
1800,4,10.463
1800,5,14.637
1800,6,20.574
1800,7,23.297
1800,8,21.146
1800,9,-0.812
1800,10,10.432
1800,11,2.511
1800,12,0.078
1801,1,-3.215
1801,2,-2.012
1801,3,4.344
1801,4,8.004
1801,5,16.375
1801,6,19.781
1801,7,23.131
1801,8,20.889
1801,9,0.865
1801,10,10.731
1801,11,3.758
1801,12,-0.232
1802,1,0.829
1802,2,-2.353
1802,3,3.11
1802,4,9.1
1802,5,13.822
1802,6,20.703
1802,7,22.624
1802,8,22.267
1802,9,0.283
1802,10,12.339
1802,11,4.676
1802,12,-1.552
1803,1,-3.132
1803,2,-0.782
1803,3,2.475
1803,4,9.643
1803,5,13.293
1803,6,21.13
1803,7,23.738
1803,8,22.357
1803,9,-1.257
1803,10,11.426
1803,11,3.112
1803,12,1.272
1804,1,-4.88
1804,2,-2.323
1804,3,1.272
1804,4,8.326
1804,5,16.195
1804,6,20.617
1804,7,22.868
1804,8,22.234
1804,9,1.594
1804,10,10.246
1804,11,5.268
1804,12,-2.767
1805,1,-5.061
1805,2,-1.566
1805,3,4.454
1805,4,10.188
1805,5,15.468
1805,6,20.724
1805,7,23.392
1805,8,23.22
1805,9,1.35
1805,10,9.096
1805,11,3.732
1805,12,2.593
1806,1,-3.428
1806,2,-0.072
1806,3,0.005
1806,4,6.867
1806,5,15.713
1806,6,20.512
1806,7,21.596
1806,8,20.887
1806,9,0.134
1806,10,10.08
1806,11,4.124
1806,12,-1.455
1807,1,-5.026
1807,2,-3.05
1807,3,0.503
1807,4,7.81
1807,5,13.751
1807,6,19.12
1807,7,23.336
1807,8,21.898
1807,9,-1.206
1807,10,10.824
1807,11,2.923
1807,12,1.603
1808,1,-3.845
1808,2,-1.122
1808,3,3.143
1808,4,9.132
1808,5,13.839
1808,6,20.748
1808,7,22.654
1808,8,20.09
1808,9,-0.71
1808,10,9.566
1808,11,4.473
1808,12,-0.729
1809,1,-5.738
1809,2,-4.295
1809,3,1.153
1809,4,8.633
1809,5,14.791
1809,6,19.915
1809,7,20.329
1809,8,20.432
1809,9,-2.327
1809,10,13.446
1809,11,1.532
1809,12,0.939
1810,1,-3.7
1810,2,-0.534
1810,3,1.853
1810,4,9.89
1810,5,15.198
1810,6,20.526
1810,7,21.029
1810,8,20.704
1810,9,-0.606
1810,10,9.272
1810,11,2.863
1810,12,-1.886
1811,1,-3.491
1811,2,-3.458
1811,3,4.295
1811,4,7.987
1811,5,14.159
1811,6,20.248
1811,7,21.857
1811,8,20.537
1811,9,-0.734
1811,10,11.681
1811,11,4.148
1811,12,-1.706
1812,1,-5.771
1812,2,-3.806
1812,3,-0.852
1812,4,7.471
1812,5,11.781
1812,6,18.767
1812,7,20.84
1812,8,20.186
1812,9,-2.856
1812,10,9.503
1812,11,3.016
1812,12,-2.286
1813,1,-5.83
1813,2,-3.088
1813,3,-0.31
1813,4,8.785
1813,5,13.556
1813,6,19.967
1813,7,21.779
1813,8,21.923
1813,9,1.052
1813,10,9.392
1813,11,4.662
1813,12,-2.27
1814,1,-5.058
1814,2,-1.817
1814,3,0.674
1814,4,8.627
1814,5,15.391
1814,6,19.209
1814,7,20.313
1814,8,20.419
1814,9,-1.325
1814,10,8.789
1814,11,3.997
1814,12,-2.432
1815,1,-4.955
1815,2,-4.205
1815,3,2.185
1815,4,7.874
1815,5,12.425
1815,6,18.725
1815,7,22.936
1815,8,19.732
1815,9,-2.113
1815,10,8.581
1815,11,3.516
1815,12,-3.086
1816,1,-4.932
1816,2,-3.137
1816,3,0.116
1816,4,6.961
1816,5,12.914
1816,6,17.331
1816,7,19.334
1816,8,20.068
1816,9,-3.19
1816,10,9.364
1816,11,4.64
1816,12,-2.05
1817,1,-5.13
1817,2,-6.805
1817,3,0.4
1817,4,7.706
1817,5,13.027
1817,6,17.391
1817,7,20.354
1817,8,20.691
1817,9,-1.308
1817,10,7.657
1817,11,4.066
1817,12,-2.287
1818,1,-4.962
1818,2,-6.901
1818,3,1.561
1818,4,6.472
1818,5,13.597
1818,6,20.922
1818,7,22.436
1818,8,20.01
1818,9,-2.666
1818,10,8.938
1818,11,4.902
1818,12,-4.358
1819,1,-2.133
1819,2,-1.243
1819,3,-1.31
1819,4,7.289
1819,5,13.718
1819,6,20.124
1819,7,21.994
1819,8,21.087
1819,9,0.725
1819,10,9.099
1819,11,4.363
1819,12,-2.427
1820,1,-5.747
1820,2,-0.31
1820,3,1.612
1820,4,9.172
1820,5,13.935
1820,6,20.229
1820,7,23.847
1820,8,20.895
1820,9,-0.088
1820,10,8.61
1820,11,1.805
1820,12,-3.721
1821,1,-7.501
1821,2,-0.668
1821,3,0.641
1821,4,5.807
1821,5,14.341
1821,6,20.323
1821,7,20.274
1821,8,22.056
1821,9,-0.108
1821,10,9.326
1821,11,3.284
1821,12,-3.009
1822,1,-5.651
1822,2,-2.808
1822,3,4.125
1822,4,8.894
1822,5,16.257
1822,6,20.045
1822,7,23.048
1822,8,20.717
1822,9,0.801
1822,10,11
1822,11,5.805
1822,12,-1.712
1823,1,-2.729
1823,2,-5.593
1823,3,1.424
1823,4,9.297
1823,5,14.305
1823,6,19.51
1823,7,22.39
1823,8,21.087
1823,9,-2.158
1823,10,8.349
1823,11,0.993
1823,12,-0.797
1824,1,-0.858
1824,2,-2.224
1824,3,1.64
1824,4,8.638
1824,5,13.99
1824,6,18.956
1824,7,21.513
1824,8,19.554
1824,9,-1.417
1824,10,9.902
1824,11,3.332
1824,12,0.898
1825,1,-2.197
1825,2,-1.037
1825,3,4.918
1825,4,9.39
1825,5,15.135
1825,6,21.666
1825,7,24.576
1825,8,20.937
1825,9,-1.413
1825,10,11.081
1825,11,3.474
1825,12,-1.636
1826,1,-2.644
1826,2,-0.909
1826,3,2.559
1826,4,6.492
1826,5,18.514
1826,6,20.402
1826,7,22.019
1826,8,21.579
1826,9,0.158
1826,10,10.786
1826,11,3.951
1826,12,-1.423
1827,1,-6.077
1827,2,-1.082
1827,3,3.212
1827,4,10.398
1827,5,14.488
1827,6,19.153
1827,7,22.131
1827,8,20.617
1827,9,-0.895
1827,10,10.451
1827,11,1.766
1827,12,-0.609
1828,1,-0.315
1828,2,3.101
1828,3,4.236
1828,4,6.682
1828,5,15.455
1828,6,22.032
1828,7,21.876
1828,8,22.522
1828,9,-0.765
1828,10,9.308
1828,11,5.11
1828,12,1.622
1829,1,-3.848
1829,2,-6.041
1829,3,0.723
1829,4,9.064
1829,5,16.483
1829,6,20.133
1829,7,21.186
1829,8,21.474
1829,9,-3.03
1829,10,9.866
1829,11,3.675
1829,12,2.804
1830,1,-3.484
1830,2,-2.744
1830,3,3.577
1830,4,10.872
1830,5,14.869
1830,6,19.348
1830,7,23.642
1830,8,21.749
1830,9,-1.028
1830,10,11.285
1830,11,7.839
1830,12,0.328
1831,1,-5.731
1831,2,-4.767
1831,3,4.738
1831,4,9.4
1831,5,15.541
1831,6,21.765
1831,7,22.197
1831,8,21.932
1831,9,-0.698
1831,10,10.633
1831,11,3.576
1831,12,-7.384
1832,1,-3.465
1832,2,-2.131
1832,3,3.02
1832,4,7.499
1832,5,13.33
1832,6,18.978
1832,7,21.203
1832,8,20.796
1832,9,-1.486
1832,10,9.995
1832,11,4.685
1832,12,-0.258
1833,1,-0.84
1833,2,-2.744
1833,3,1.221
1833,4,10.386
1833,5,15.908
1833,6,17.506
1833,7,21.611
1833,8,19.515
1833,9,-1.467
1833,10,9.247
1833,11,2.833
1833,12,-0.918
1834,1,-4.558
1834,2,1.475
1834,3,3.307
1834,4,9.319
1834,5,14.131
1834,6,18.643
1834,7,23.326
1834,8,20.775
1834,9,-1.427
1834,10,8.428
1834,11,3.103
1834,12,-2.288
1835,1,-3.81
1835,2,-4.937
1835,3,1.079
1835,4,7.606
1835,5,14.537
1835,6,19.254
1835,7,21.758
1835,8,20.067
1835,9,-3.316
1835,10,11.718
1835,11,4.59
1835,12,-4.426
1836,1,-3.985
1836,2,-7.038
1836,3,-1
1836,4,7.091
1836,5,14.962
1836,6,17.856
1836,7,21.836
1836,8,18.567
1836,9,-1.438
1836,10,6.388
1836,11,2.044
1836,12,-2.691
1837,1,-6.13
1837,2,-2.884
1837,3,0.674
1837,4,6.823
1837,5,13.327
1837,6,18.45
1837,7,20.317
1837,8,19.473
1837,9,-2.578
1837,10,9.222
1837,11,4.322
1837,12,-1.152
1838,1,0.03
1838,2,-6.68
1838,3,3.005
1838,4,5.819
1838,5,12.951
1838,6,20.913
1838,7,23.811
1838,8,21.735
1838,9,-0.775
1838,10,8.554
1838,11,1.849
1838,12,-4.002
1839,1,-3.523
1839,2,-1.301
1839,3,2.71
1839,4,9.949
1839,5,14.723
1839,6,17.493
1839,7,21.913
1839,8,19.658
1839,9,-1.099
1839,10,11.094
1839,11,2.03
1839,12,-1.186
1840,1,-6.987
1840,2,0.658
1840,3,3.758
1840,4,10.104
1840,5,14.932
1840,6,19.101
1840,7,21.937
1840,8,21.611
1840,9,-2.269
1840,10,10.142
1840,11,3.862
1840,12,-3.145
1841,1,-2.384
1841,2,-3.845
1841,3,1.785
1841,4,6.663
1841,5,13.312
1841,6,20.96
1841,7,21.768
1841,8,21.321
1841,9,0.25
1841,10,7.678
1841,11,3.335
1841,12,-0.433
1842,1,-1.223
1842,2,1.045
1842,3,5.699
