Year,Month,Temp,
1897,3,25.068,
1897,4,27.777,
1897,5,29.18,
1897,6,28.972,
1897,7,27.46,
1897,8,27.103,
1897,9,27.277,
1897,10,27.612,
1897,11,26.387,
1897,12,24.683,
1898,1,24.264,
1898,2,23.592,
1898,3,26.065,
1898,4,28.146,
1898,5,29.26,
1898,6,28.122,
1898,7,26.754,
1898,8,26.488,
1898,9,26.564,
1898,10,28.551,
1898,11,27.854,
1898,12,26.345,
1899,1,22.759,
1899,2,24.067,
1899,3,26.279,
1899,4,26.984,
1899,5,28.677,
1899,6,27.761,
1899,7,27.397,
1899,8,27.455,
1899,9,27.348,
1899,10,28.757,
1899,11,27.509,
1899,12,26.066,
1900,1,24.31,
1900,2,24.235,
1900,3,25.973,
1900,4,27.596,
1900,5,29.045,
1900,6,29.203,
1900,7,27.852,
1900,8,26.667,
1900,9,26.943,
1900,10,27.724,
1900,11,27.859,
1900,12,26.606,
1901,1,23.87,
1901,2,22.899,
1901,3,26.263,
1901,4,27.854,
1901,5,29.054,
1901,6,28.354,
1901,7,27.166,
1901,8,26.522,
1901,9,27.262,
1901,10,27.998,
1901,11,27.825,
1901,12,26.09,
1902,1,25.241,
1902,2,24.783,
1902,3,26.99,
1902,4,28.175,
1902,5,29.727,
1902,6,28.733,
1902,7,27.721,
1902,8,27.457,
1902,9,26.94,
1902,10,28.782,
1902,11,27.42,
1902,12,25.605,
1903,1,23.996,
1903,2,23.318,
1903,3,24.657,
1903,4,27.09,
1903,5,28.618,
1903,6,28.623,
1903,7,27.087,
1903,8,26.806,
1903,9,27.081,
1903,10,27.459,
1903,11,26.56,
1903,12,24.802,
1904,1,24.566,
1904,2,24.483,
1904,3,25.488,
1904,4,27.515,
1904,5,29.111,
1904,6,28.024,
1904,7,27.015,
1904,8,26.965,
1904,9,26.98,
1904,10,28.216,
1904,11,26.546,
1904,12,25.31,
1905,1,23.253,
1905,2,21.858,
1905,3,24.144,
1905,4,25.626,
1905,5,29.306,
1905,6,29.137,
1905,7,27.437,
1905,8,26.966,
1905,9,27.285,
1905,10,28.509,
1905,11,27.836,
1905,12,24.993,
1906,1,23.477,
1906,2,22.771,
1906,3,24.631,
1906,4,27.104,
1906,5,29.282,
1906,6,27.917,
1906,7,26.953,
1906,8,26.798,
1906,9,26.649,
1906,10,27.766,
1906,11,27.84,
1906,12,25.861,
1907,1,24.74,
1907,2,24.111,
1907,3,25.47,
1907,4,26.818,
1907,5,28.441,
1907,6,28.249,
1907,7,27.195,
1907,8,25.9,
1907,9,26.85,
1907,10,28.194,
1907,11,28.083,
1907,12,25.007,
1908,1,24.038,
1908,2,23.693,
1908,3,24.855,
1908,4,27.689,
1908,5,28.696,
1908,6,28.692,
1908,7,26.405,
1908,8,25.987,
1908,9,26.986,
1908,10,27.963,
1908,11,26.294,
1908,12,24.058,
1909,1,23.69,
1909,2,23.718,
1909,3,26.233,
1909,4,26.824,
1909,5,29.176,
1909,6,27.895,
1909,7,26.269,
1909,8,26.575,
1909,9,26.263,
1909,10,27.341,
1909,11,26.8,
1909,12,25.231,
1910,1,23.88,
1910,2,24.155,
1910,3,25.749,
1910,4,27.359,
1910,5,28.669,
1910,6,27.787,
1910,7,27.13,
1910,8,26.372,
1910,9,26.332,
1910,10,27.069,
1910,11,25.701,
1910,12,24.439,
1911,1,24.462,
1911,2,23.598,
1911,3,24.894,
1911,4,26.739,
1911,5,29.136,
