Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
BI327,A,3 to 4,TR,11:00am-12:15pm,The Biology of Cancer,, ,OLIN 001,33,32,7,MitchellGe 
BI327 D,A,,M,12:00n -12:50pm,Disc: Biology of Cancer,, ,OLIN 335,16,16, ,MitchellGe 
BI348,A,3,TR, 9:30am-10:45am,Pathogenic Bacteriology,, ,AREY 005,13,18,8,Fekete     
BI352,A,4,MWF, 9:00am- 9:50am,Advanced and Applied Ecology (See ES352),, , ,0, , ,Cole       
BI352,A,4,M, 1:00pm- 4:00pm,Advanced and Applied Ecology (See ES352),, , ,0, , ,Cole       
BI356,A,4,MWF,10:00am-10:50am,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI366,A,4,TR, 9:30am-10:45am,The Environment and Human Health (See ES366),N, , ,0, , ,Carlson    
BI368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI373,A,3 to 4,MWF,11:00am-11:50am,Animal Behavior,, ,LOVE 205,39,32,1,Bevier     
BI373 L,A,,T, 1:00pm- 4:00pm,Lab: Animal Behavior,, ,OLIN 223,19,16, ,Bevier     
BI374,A,3 to 4,TR, 9:30am-10:45am,Advanced Neurobiology,, ,OLIN 234,18,16,8,Ahmad      
BI374 L,A,,R, 1:00pm- 4:00pm,Optional Lab: Advanced Neurobiology,, ,AREY 205,9,16, ,Ahmad      
BI378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,Johnson    
BI378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,Johnson    
BI402,A,1,F, 1:00pm- 1:50pm,Biology Seminar (Applied Microbiology),, ,LOVE 302,10,12, ,Fekete     
BI402,B,1,F, 1:00pm- 1:50pm,Biology Seminar (Sustainable Agriculture),, ,OLIN 234,10,12, ,Johnson    
BI402,C,1,F, 1:00pm- 1:50pm,Biology Seminar (Neurodegenerative Disorders),, ,OLIN 335,12,12, ,Ahmad      
CH142,A,4,MWF, 9:00am- 9:50am,General Chemistry,"N,Lb", ,KEYE 105,48,63,10,Conry      
CH142,B,4,MWF,10:00am-10:50am,General Chemistry,"N,Lb", ,KEYE 105,61,63,10,Rice       
CH142 L,A,,M, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,19,19, ,Conry      
CH142 L,B1,,T, 8:00am-10:50am,Laboratory: General Chem,, ,KEYE 405,18,19, ,Hepburn    
CH142 L,B2,,T, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,19,19, ,"Miller, L  "
CH142 L,C,,W, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,19,19, ,"Miller, L  "
CH142 L,D,,R, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,19,19, ,"Miller, L  "
CH142 L,E,,F, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,14,19, ,"Miller, L  "
CH144,A,1,T, 7:00pm- 9:00pm,Turbo Chemistry,, ,KEYE 103,6,12, ,Rice       
CH242,A,4,MWF, 9:00am- 9:50am,Organic Chemistry,, ,MILL 014,33,40,10,Thamattoor 
CH242,B,4,MWF,10:00am-10:50am,Organic Chemistry,, ,MILL 014,38,40,10,Thamattoor 
CH242 L,A,,M, 1:00pm- 4:45pm,Laboratory: Organic Chem,, ,KEYE 305,18,16, ,Klinkerch  
CH242 L,B,,T, 1:00pm- 4:45pm,Laboratory: Organic Chem,, ,KEYE 305,16,16, ,Klinkerch  
CH242 L,C,,W, 1:00pm- 4:45pm,Laboratory: Organic Chem,, ,KEYE 305,14,16, ,Klinkerch  
CH242 L,D1,,R, 8:00am-11:45am,Laboratory: Organic Chem,, ,KEYE 305,7,16, ,Thamattoor 
CH242 L,D2,,R, 1:00pm- 4:45pm,Laboratory: Organic Chem,, ,KEYE 305,16,16, ,Klinkerch  
CH278,A,4,TR, 9:30am-10:45am,Joules to Dollars (See EC278),N, , ,0, , ,Donihue    King        
CH278,A,4,F, 1:00pm- 4:00pm,Joules to Dollars (See EC278),N, , ,0, , ,Donihue    King        
CH332,A,4,TR, 8:00am- 9:15am,Instrumental Methods of Analysis,, ,KEYE 104,4,12,11,King       
CH332,A,4,R, 1:00pm- 4:50pm,Instrumental Methods of Analysis,, ,KEYE 205,4,12,11,King       
CH342,A,5,MWF, 8:00am- 8:50am,Physical Chemistry,, ,KEYE 102,16,12,4,Boekelheid 
CH342,A,5,F, 2:00pm- 2:50pm,Physical Chemistry,, ,KEYE 102,16,12,4,Boekelheid 
